tagged_cycle,cycle,dchg_dVdQ_SOC0_abs
1,12,0.12475105108924868
6,17,0.1216664242159674
11,22,0.11902499581943192
16,27,0.11740119469934984
21,32,0.11550491349682318
26,37,0.11338286882912894
31,42,0.11165468983049404
36,47,0.10983828515252074
41,52,0.10808392974578869
46,57,0.10639970295256664
51,62,0.10411685923459121
56,67,0.1025677455495742
61,72,0.10061500810720089
66,77,0.098497269917936
71,82,0.0971392822616951
76,87,0.09496125131778861
81,92,0.09370631223085593
86,97,0.09226509539217753
91,102,0.09076166954611564
96,117,0.08696205211815404
101,122,0.08549939338398377
106,127,0.08418287901730981
111,132,0.08406683410139491
116,137,0.0824437903486121
121,142,0.0808911002912027
126,147,0.07991565206052471
131,152,0.07911366387267776
136,157,0.07762294059284303
141,162,0.07667727688694556
146,167,0.07565434772504905
151,172,0.07489753218411398
156,177,0.07428539220660867
161,182,0.07338935131895911
166,187,0.07231521642989891
171,192,0.07164581332830695
176,197,0.07104309642733027
181,202,0.07032330463295847
186,207,0.06900499043809721
191,222,0.06700700313202271
196,227,0.06664576780397559
201,232,0.06603935448898259
206,237,0.06517864820050631
211,242,0.06501767659769114
216,247,0.06450963855745515
221,252,0.06407616418791363
226,257,0.06364328596194505
231,262,0.06299697310549254
236,267,0.06283871178046263
241,272,0.061920974430119936
246,277,0.06206722598548373
251,282,0.06137848960010027
256,287,0.06106540715825457
261,292,0.061298679374462574
266,297,0.0611127966148981
271,302,0.06112645116812968
276,307,0.0610892404840015
281,312,0.06107574528084039
286,327,0.06118893664824415
291,332,0.06111182958407251
296,337,0.06170951542628738
301,342,0.06205152017564301
306,347,0.06292471020987078
311,352,0.06342872895066816
316,357,0.06440006586745937
321,362,0.06515244747773327
326,367,0.06636270621116187
331,372,0.06765009685032539
336,377,0.06879043991029224
341,382,0.07063999886859804
346,387,0.07149261451349978
351,392,0.07337852741577965
356,397,0.07514938775209702
361,402,0.07706277072982744
366,407,0.07852051594874637
371,412,0.08082028623941145
376,417,0.08248667765396947
381,432,0.08228251249232889
386,437,0.08609627927017093
391,442,0.08868270965849512
396,447,0.09152371575795727
401,452,0.0935093518100585
406,457,0.09548592437115257
408,459,0.09672872131469765
