segment,cycle_start,cycle_end,n_points,SoHQ_start,SoHQ_end,dominant_electrode,relative_dominant,PE_side_score_mean,NE_side_score_mean,contact_stack_score_mean,shared_side_score_mean,dominance_margin_mean,PE_top_modes,NE_top_modes,shared_top_modes,electrode_confidence_mean,LAM_PE_mean,contact_loss_mean,LLI_mean,si_cosign_mean,fade_exponent_b,knee_cycle_bw,crosses_knee
1,7,9,3,96.28910897452056,95.9052650561259,mixed,PE,0.560747506665565,0.1032318920797362,0.5362695692453827,0.5148900733561702,0.02447793742018234,LAM_PE,contact_loss,"solid_diffusion,interface_R,SE_decomposition,LLI",0.47122299754577757,0.6898855644429757,0.5362695692453827,0.38777034623878687,0.0,1.3413045241883332,350.0,False
2,10,60,6,95.8100464569479,93.65279283237243,contact_stack,contact_stack,0.465865055228922,0.10323189207973617,0.5362695692453827,0.5476099657962057,0.0704045140164607,LAM_PE,contact_loss,"solid_diffusion,interface_R,SE_decomposition,LLI",0.48445589509091375,0.6033756291941181,0.5362695692453827,0.4099938389688484,0.0,1.3413045241883332,350.0,False
3,70,90,3,93.35821600444763,92.63071089296454,mixed,PE,0.6379266625684985,0.1459517833506523,0.6215041576663248,0.512991221788981,0.016422504902173674,LAM_PE,contact_loss,"interface_R,SE_decomposition,LLI,solid_diffusion",0.45926640213873915,0.8283466612024425,0.6215041576663248,0.4618192570577688,0.06666666666666667,1.3413045241883332,350.0,False
4,100,210,11,92.24537944365235,87.96063943330888,contact_stack,contact_stack,0.5821546470990776,0.19826349932856668,0.6594538748857885,0.5900378170199813,0.07729922778671094,LAM_PE,contact_loss,"solid_diffusion,interface_R,SE_decomposition,LLI",0.5617213959889491,0.7156001355260426,0.6594538748857885,0.5277131209068916,0.18181818181818182,1.3413045241883332,350.0,False
5,220,240,3,87.54407260480514,86.56959026971954,mixed,contact_or_NE,0.5580372212947677,0.19117952003990232,0.6057936365147814,0.6310273245165464,0.047756415220013615,LAM_PE,contact_loss,"solid_diffusion,interface_R,SE_decomposition,LLI",0.5191589540030889,0.6773829617263569,0.6057936365147814,0.5271012752693515,0.20000000000000004,1.3413045241883332,350.0,False
6,250,310,7,86.08606377435623,82.95433196980949,contact_stack,contact_stack,0.5580444684379372,0.19267361335310215,0.6114530808829627,0.6433758129320378,0.05340861244502548,LAM_PE,contact_loss,"solid_diffusion,interface_R,SE_decomposition,LLI",0.536050677480268,0.6773926245839162,0.6114530808829627,0.5812712866053557,0.19999999999999998,1.3413045241883332,350.0,False
7,330,350,3,81.95009209118315,80.26299103409437,mixed,contact_or_NE,0.5580506692803909,0.18265114838874888,0.5734891984422307,0.6993645083260268,0.015438529161839742,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.6952817922966433,0.6774008923738544,0.5734891984422307,0.684259256158854,0.20000000000000004,1.3413045241883332,350.0,True
8,360,380,3,79.31825793232093,77.26216749044114,NE,NE,0.47733816580834815,0.19839336935764584,0.5437224019115087,0.6799811894431963,0.06638423610316052,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.6988695448471202,0.614228665522242,0.5437224019115087,0.7060629975464341,0.26666666666666666,1.3413045241883332,350.0,False
9,390,490,11,76.13299579031519,68.64957954398452,mixed,PE,0.5084754831640743,0.16534192215213817,0.5079239475459778,0.635402640302441,0.0005515356180965103,LAM_PE,contact_loss,"LLI,solid_diffusion,interface_R,SE_decomposition",0.6433959001179302,0.6779673108854324,0.5079239475459778,0.5781747586036721,0.2,1.3413045241883332,350.0,False
10,500,564,10,68.08869451572004,65.4255986619424,PE,PE,0.6655197019426199,0.16204989253548702,0.4954541383919963,0.5905471569846048,0.17006556355062358,LAM_PE,contact_loss,"solid_diffusion,interface_R,SE_decomposition,LLI",0.5624519536765267,0.8873596025901598,0.4954541383919963,0.4349825695466162,0.2,1.3413045241883332,350.0,False
