cycle,SoHQ,CE,LAM_PE_pattern_score,contact_loss_score,LLI_pattern_score,interface_R_score,solid_diffusion_score,PE_side_score,NE_side_score,shared_side_score,dominant_electrode,dominance_margin,electrode_confidence,PE_top_modes,NE_top_modes,shared_top_modes,electrode_narrative,fade_exponent_b,knee_cycle_bw,eta_argmax_SOC,mech_vs_chem_ratio,PER
1,,,,,,,,0.0,0.0,0.0,unknown,0.0,0.3,,,,Insufficient electrode-side evidence for this cycle.,,,,,
2,100.56235316864861,106.9558529538581,0.06194873450185878,0.315122418413181,0.0003067468483035489,0.0,0.0,0.29336411415130115,0.26344283574636956,6.134936966070977e-05,mixed,0.029921278404931584,0.4731397897669042,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.29, NE=0.26, Δ=0.03). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
3,100.0,106.35459145178723,0.0,0.31689995572171414,0.0,0.0,0.0,0.25,0.3075442547194856,0.0,mixed,0.0575442547194856,0.5555619566072798,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.25, NE=0.31, Δ=0.06). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,0.0,,
10,95.8100464569479,112.99189924749302,0.30332980756652506,0.3891849552448948,0.30686757400479164,0.0,,0.36233086529656755,0.31528661152856924,0.07671689350119791,mixed,0.04704425376799831,0.4971119552751976,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.36, NE=0.32, Δ=0.05). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
20,95.02747777083104,114.47007096926471,0.29901061772123255,0.3857270457368335,0.3158523823959607,0.0,,0.3593074324048628,0.3128660748729263,0.07896309559899017,mixed,0.04644135753193651,0.4962679005447111,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.36, NE=0.31, Δ=0.05). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
30,94.62282504004838,114.01358126059733,0.20373512094120833,0.3844601988303637,0.32097570637404504,0.0,,0.20511458465884583,0.3119792820383974,0.08024392659351126,NE,0.1068646973795516,0.6246105763313723,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","NE-side hypothesis dominates (NE=0.31 > PE=0.21). For ASSB Si-rich, contact_loss is treated as NE-driven. Top NE modes: contact_loss.",,,,,
40,94.30295049125917,114.83602611816319,0.29937119366078585,0.38399937166775466,0.3214397829274799,0.0,,0.4220598355625501,0.3116567030245711,0.08035994573186997,PE,0.11040313253797901,0.6295643855531705,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",PE-side hypothesis dominates (PE=0.42 > NE=0.31). Top PE modes: LAM_PE.,,,,,
50,94.01730023387753,114.51570265278073,0.29761323353669056,0.38207159887838116,0.32309958402951633,0.0,,0.37082926347568335,0.31030726207200965,0.08077489600737908,mixed,0.0605220014036737,0.5597308019651431,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.37, NE=0.31, Δ=0.06). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
60,93.65279283237243,115.29546550894483,0.2996168186834752,0.3813269387059784,0.3369534315132334,0.0,,0.4222317730784326,0.3097859999513277,0.08423835787830836,PE,0.11244577312710491,0.6324240823779468,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",PE-side hypothesis dominates (PE=0.42 > NE=0.31). Top PE modes: LAM_PE.,,,,,
70,93.35821600444763,114.95102820977034,0.2991652764381963,0.37956665462504524,0.34989451599132076,0.0,,0.37191569350673737,0.3085538010946745,0.08747362899783019,mixed,0.06336189241206286,0.563706649376888,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.37, NE=0.31, Δ=0.06). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
80,92.99075154660278,108.13983446909477,0.29922218687675267,0.6732817801828341,0.36205832683297734,0.0,,0.3719555308137269,0.5570115318422696,0.09051458170824433,NE,0.1850560010285427,0.7778284014399597,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","NE-side hypothesis dominates (NE=0.56 > PE=0.37). For ASSB Si-rich, contact_loss is treated as NE-driven. Top NE modes: contact_loss.",,,,,
90,92.63071089296454,116.59761360282306,0.2973743250044288,0.6613920556185023,0.37231845635481103,0.0,,0.47066202750310016,0.5058315817900945,0.09307961408870276,mixed,0.03516955428699431,0.524237376001792,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.47, NE=0.51, Δ=0.04). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
100,92.24537944365235,116.11607707610354,0.3095122156950528,0.6406534256804723,0.38209694688695167,0.0,,0.429158550986537,0.4913145408334735,0.09552423672173792,mixed,0.06215598984693649,0.5620183857857111,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.43, NE=0.49, Δ=0.06). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
107,95.49508602333124,112.22304570788131,0.123610114978196,0.307053382505002,0.16200815512726885,0.03581969821385279,0.0,0.23652708048473722,0.3006516534677871,0.039565570668224324,mixed,0.06412457298304988,0.5647744021762697,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.24, NE=0.30, Δ=0.06). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,0.0,,
108,95.43357094123589,109.10547605909049,0.1811856968631325,0.30921595647130234,0.15883720912475466,0.008002931985171907,0.0,0.32682998780419276,0.30216545524419736,0.03336802822198531,mixed,0.0246645325599954,0.5095303455839936,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.33, NE=0.30, Δ=0.02). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,0.0,,
120,91.60118437377855,116.62383102790896,0.3095006659319732,0.6030842691887769,0.40036955421929865,0.0,,0.5291504661523811,0.46501613128928665,0.10009238855482466,mixed,0.0641343348630945,0.5647880688083322,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.53, NE=0.47, Δ=0.06). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
130,91.17120622136952,116.11372254888714,0.30952380952380765,0.6271910328673788,0.4070724729699364,0.0,,0.47916666666666535,0.48189086586430796,0.1017681182424841,mixed,0.002724199197642607,0.47881387887669963,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.48, NE=0.48, Δ=0.00). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
140,90.75762692004369,116.88108901991463,0.30948464755270844,0.5997623340398744,0.4127935246509921,0.0,,0.47913925328689594,0.462690776685055,0.10319838116274803,mixed,0.016448476601840956,0.4980278672425773,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.48, NE=0.46, Δ=0.02). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
150,90.41096573443446,117.77482412498759,0.30949885344715194,0.6159568902195789,0.41537973398410594,0.0,,0.5291491974130064,0.4740269660108481,0.10384493349602648,mixed,0.05512223140215827,0.5521711239630216,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.53, NE=0.47, Δ=0.06). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
160,90.15210211387283,117.44463067666966,0.30952380952380837,0.6009472334314941,0.4245487157368591,0.0,,0.3791666666666659,0.46352020625918877,0.10613717893421477,NE,0.0843535395925229,0.593094955429532,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","NE-side hypothesis dominates (NE=0.46 > PE=0.38). For ASSB Si-rich, contact_loss is treated as NE-driven. Top NE modes: contact_loss.",,,,,
170,89.75339119653164,116.95598041159403,0.3095238095238066,0.6149651206494222,0.4230166851115662,0.0,,0.4791666666666646,0.4733327273117384,0.10575417127789155,mixed,0.005833939354926154,0.4831675150968966,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.48, NE=0.47, Δ=0.01). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
180,89.31004050128408,117.71986575826081,0.3095238095238075,0.6137109045681701,0.41785897273808686,0.0,,0.42916666666666525,0.4724547760548619,0.10446474318452172,mixed,0.04328810938819666,0.5356033531434753,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.43, NE=0.47, Δ=0.04). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
190,88.85182834724233,118.49867982153299,0.3095056090309657,0.6358449397605823,0.4261538002627889,0.0,,0.47915392632167597,0.4879486006895505,0.10653845006569722,mixed,0.008794674367874511,0.4873125441150243,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","Mixed PE/NE signals (PE=0.48, NE=0.49, Δ=0.01). Both electrodes likely contribute; need aged half-cell to separate amounts.",,,,,
200,88.41589176093466,117.93429968255352,0.3095238095238078,0.6074730334961741,0.41539103022565965,0.0,,0.32916666666666544,0.4680882663044647,0.10384775755641491,NE,0.13892159963779926,0.669490239492919,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort","NE-side hypothesis dominates (NE=0.47 > PE=0.33). For ASSB Si-rich, contact_loss is treated as NE-driven. Top NE modes: contact_loss.",,,,,
