segment,cycle_start,cycle_end,n_points,SoHQ_start,SoHQ_end,dominant_electrode,relative_dominant,dominant_vote,PE_side_score_mean,NE_side_score_mean,shared_side_score_mean,dominance_margin_mean,PE_top_modes,NE_top_modes,shared_top_modes,electrode_confidence_mean,LAM_PE_mean,contact_loss_mean,LLI_mean,fade_exponent_b,knee_cycle_bw,crosses_knee
1,2,10,3,100.55994373250638,95.68029670404636,PE,PE,PE,0.31579022211962554,0.29459309324714184,0.02616958668127309,0.021197128872483706,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.6158095675280227,0.2071315650638265,0.3147238430964563,0.0013262379896837695,,,False
2,20,90,8,94.90419000911037,92.25385865759665,PE,PE,PE,0.422103914588009,0.3677921133169803,0.08987646429311473,0.05431180127102869,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.5883864956321957,0.28047824310177893,0.42051753327300795,0.3481345321262003,,,False
3,100,200,12,91.83389982210014,87.27078645653408,mixed,NE,mixed,0.40013621955021633,0.4087800349497941,0.09807718287891838,0.008643815399577759,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.48832724870730565,0.16219418679932127,0.40124371507475737,0.2740734471221163,,,False
4,210,230,5,86.71725145141305,85.65773229191537,PE,PE,PE,0.4108899005662182,0.3879479484326852,0.09687292167773348,0.022941952133533006,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.6028988024728988,0.28981722357294154,0.3850735475801876,0.38539793710031667,,,False
5,240,260,3,85.01815124557947,83.75234124391423,NE,NE,NE,0.379166666664839,0.47385920559732964,0.13065793709613474,0.09469253893249063,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.6367362211721534,0.3095238095211987,0.5871458039145526,0.43661234684555755,,,False
6,270,317,6,82.98515896779895,85.15759874337552,mixed,NE,mixed,0.41978404644448086,0.42301445973630303,0.13499734972100588,0.003230413291822165,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.4868064870560584,0.3095238095195657,0.5520014214078134,0.5015191334669642,,,False
7,318,330,2,85.71261056021781,77.8120988760399,mixed,NE,mixed,0.4184580619353252,0.4191373261786816,0.11032273248575288,0.0006792642433564033,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.4866798439038659,0.30315437419332175,0.5069308741328105,0.4580631073605702,,,False
8,340,350,2,76.45429414160533,75.28494108211976,NE,NE,NE,0.26385135135135135,0.36755785560057697,0.1346322535693161,0.10370650424922562,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.6420641059489158,0.21621621621621623,0.4332459161640896,0.5385290142772644,,,False
9,360,410,6,74.12894840257461,69.65042498883687,PE,PE,PE,0.3703582669892331,0.2907947656944535,0.10132463251592753,0.07956350129477957,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.5968404057231276,0.3095137858811564,0.4137582698371487,0.4135439598475711,,,False
10,420,480,9,68.976728072102,65.97321353650321,PE,PE,PE,0.36791046016820567,0.3323546562902748,0.09546809744157118,0.03555580387793089,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.5021739141000451,0.3092906205084258,0.4559881571410328,0.3603969703682508,,,False
11,490,520,4,65.48945753983945,64.14647618217673,PE,PE,PE,0.3416666666666667,0.3105797259940143,0.08925039253245245,0.031086940672652386,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.47784879574784656,0.30952380952380953,0.42268830365865995,0.3592437435582783,,,False
12,526,533,5,63.89716715461318,64.30971844619071,mixed,PE,mixed,0.3891370967915455,0.3832010921673444,0.07897113400432595,0.00593600462420113,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,microshort",0.4533578962512108,0.3094534050592354,0.5711928739986164,0.3549772485821793,,,False
