cycle,SoHQ_rpt_c3,C_rate_med_est,I_abs_med_cc,cycle_routine_prev,SoHQ_routine_prev,SoHQ_gap_vs_prev_routine,cycle_routine_next,SoHQ_routine_next,note
2,100.55994373250638,0.3580561944444444,25.780046,,,,7,96.17147129654096,C/3 RPT capacity (not fade spike)
3,100.0,0.3580547638888889,25.779943,,,,7,96.17147129654096,C/3 RPT capacity (not fade spike)
107,95.3206398625938,0.35805312499999997,25.779825,100.0,91.83389982210014,3.4867400404936575,120,91.05631493395391,C/3 RPT capacity (not fade spike)
108,95.27118946449977,0.3580561944444444,25.780046,100.0,91.83389982210014,3.4372896423996337,120,91.05631493395391,C/3 RPT capacity (not fade spike)
212,92.05796352001514,0.3580547638888889,25.779943,210.0,86.71725145141305,5.3407120686020875,220,86.23943309439191,C/3 RPT capacity (not fade spike)
213,92.04510185759706,0.3580547638888889,25.779943,210.0,86.71725145141305,5.327850406184012,220,86.23943309439191,C/3 RPT capacity (not fade spike)
317,85.15759874337552,0.35805169444444446,25.779722,310.0,79.12984319298796,6.027755550387553,330,77.8120988760399,C/3 RPT capacity (not fade spike)
318,85.71261056021781,0.3580518888888889,25.779736,310.0,79.12984319298796,6.582767367229849,330,77.8120988760399,C/3 RPT capacity (not fade spike)
422,74.45541773422379,0.35805169444444446,25.779722,420.0,68.976728072102,5.478689662121781,430,69.18892892413257,C/3 RPT capacity (not fade spike)
423,74.93917925684347,0.3580518888888889,25.779736,420.0,68.976728072102,5.962451184741468,430,69.18892892413257,C/3 RPT capacity (not fade spike)
527,68.53844102228747,0.3580545555555556,25.779928,526.0,63.89716715461318,4.641273867674293,532,64.51301698322428,C/3 RPT capacity (not fade spike)
528,68.8995290863249,0.3580545555555556,25.779928,526.0,63.89716715461318,5.002361931711725,532,64.51301698322428,C/3 RPT capacity (not fade spike)
