tagged_cycle,cycle,dchg_dVdQ_SOC0_abs
1,12,0.11121147827240334
6,17,0.1087528848546432
11,22,0.10723660470653468
16,27,0.10517085262230928
21,32,0.1018021000550424
26,37,0.10146328428192986
31,42,0.09857837965158305
36,47,0.09643425666002908
41,52,0.09399794085797249
46,57,0.09170676781690743
51,62,0.08930045356182743
56,67,0.08746150966074855
61,72,0.08575794408122021
66,77,0.08427490021619775
71,82,0.08272636976814847
76,87,0.0811990113560729
81,92,0.07992970347856057
86,97,0.07890541063659169
91,102,0.07781773223562719
96,117,0.07503877680474212
101,122,0.07553084480117231
106,127,0.07258699236210056
111,132,0.07354820766867064
116,137,0.07515606678151046
121,142,0.07267220491198201
126,147,0.07264580242213471
131,152,0.07141888810136544
136,157,0.0706577207353878
141,162,0.07031294832797892
146,167,0.0697882911933433
151,172,0.06985337861143973
156,177,0.06971642503914022
161,182,0.06923373237751385
166,187,0.06886093689996325
171,192,0.06867248524848948
176,197,0.06843356481666373
181,202,0.06858109816564771
186,207,0.06834086360569658
191,222,0.06790634131385476
196,227,0.06783027680108134
201,232,0.06733698125664503
206,237,0.06718879154627193
211,242,0.06724482660800525
216,247,0.06715132963631283
221,252,0.06737941428891031
226,257,0.06760073227134505
231,262,0.06780819293918769
236,267,0.06820538271712649
241,272,0.06867804700237926
246,277,0.0692459644301673
251,282,0.0702748357648402
256,287,0.07118453943581372
261,292,0.07276227426096375
266,297,0.07406233446880223
271,302,0.0757369330141543
276,307,0.07714873603420784
281,312,0.07942548960318013
286,327,0.07975142005463419
291,332,0.08342025065902058
296,337,0.08673786629814327
301,342,0.08986315750242037
306,347,0.09260909011942572
311,352,0.09597253999053236
316,357,0.09928242910975499
321,362,0.102440501511017
326,367,0.10573618242970033
331,372,0.10904066497145734
336,377,0.11240884452952725
341,382,0.11583729374435067
346,387,0.11932127966748118
351,392,0.12212359919227812
356,397,0.12554782178710444
361,402,0.12877085026166674
366,407,0.13189902736827547
371,412,0.1350832619169684
376,417,0.1386199960795103
381,432,0.13939065294059325
386,437,0.14431371783908153
391,442,0.14831336853866803
396,447,0.15210008738908165
401,452,0.15578839795489155
406,457,0.1592087613833401
411,462,0.16255454689347879
416,467,0.16600200952722177
421,472,0.16954610163848494
426,477,0.1729497034270075
431,482,0.17643376653562096
436,487,0.1800156197839847
441,492,0.183601958713969
446,497,0.18693096743749782
451,502,0.19039276621838594
456,507,0.1940023804871252
461,512,0.19760355274278188
466,517,0.200986538625064
471,522,0.20453539118316574
475,526,0.20745133555433506
